Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Codebook Info,Form Info
alcohol_1,survey_measures,alcohol_questions_from_qualtrics,radio,"During the last 6 months, how often did you usually have any kind of drink containing alcohol? (By a drink we mean the equivalent of a 12 oz can or glass of beer, a 5 oz glass of wine, or a drink containing 1 shot of liquor.)","11, Every day | 10, 5-6 times a week | 9, 3-4 times a week | 8, Twice a week | 7, Once a week | 6, 2-3 times a month | 5, Once a month | 4, 3-5 times in the past 6 months | 3, 1-2 times in the past 6 months | 2, I did not drink alcohol in the last 6 months, but I did drink in the past | 1, I never drank any alcohol in my life",,,,,,,,,,,,,,"<p>Asked during the fMRI session (outside of the scanner)</p>
<div class=""citation"">
  <span class=""author"">Townshend, J. M., &amp; Duka, T.</span>
  <span class=""year""> (2002).</span>
  <span class=""title""> Patterns of alcohol drinking in a population of young social drinkers: a comparison of questionnaire and diary measures.</span>
  <span class=""journal""> <em>Alcohol and Alcoholism</em>,</span>
  <span class=""volume"">37(2),</span>
  <span class=""pages"">187-192.</span>
</div>"
alcohol_2,survey_measures,alcohol_questions_from_qualtrics,radio,"During the 6 months, how many alcoholic drinks did you have on a typical day when you drank alcohol?","11, 25 or more drinks | 10, 19-24 drinks | 9, 16-18 drinks | 8, 12 - 15 drinks | 7, 9-11 drinks | 6, 7-8 drinks | 5, 5-6 drinks | 4, 3-4 drinks | 3, 2 drinks | 2, 1 drink | 1, 0 drinks",,,,,,,,,,,,,,
maas_1,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I could be experiencing some emotion and not be conscious of it until some time later.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,"<b>Mindful Attention Awareness Scale (MAAS)</b>
<p>Asked during the fMRI session (outside of the scanner)</p>
<div class=""citation"">
  <span class=""author"">Brown, K. W., &amp; Ryan, R. M.</span>
  <span class=""year""> (2003).</span>
  <span class=""title""> The benefits of being present: Mindfulness and its role in psychological well-being.</span>
  <span class=""journal""> <em>Journal of Personality and Social Psychology</em>,</span>
  <span class=""volume"">84,</span>
  <span class=""pages"">822-848.</span>
</div>"
maas_2,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I break or spill things because of carelessness, not paying attention, or thinking of something else.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_3,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I find it difficult to stay focused on what's happening in the present.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_4,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I tend to walk quickly to get where I'm going without paying attention to what I experience along the way.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_5,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I tend not to notice feelings of physical tension or discomfort until they really grab my attention.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_6,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I forget a person's name almost as soon as I've been told it for the first time.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_7,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

It seems I am ""running on automatic,"" without much awareness of what I'm doing.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_8,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I rush through activities without being really attentive to them.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_9,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I get so focused on the goal I want to achieve that I lose touch with what I'm doing right now to get there.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_10,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I do jobs or tasks automatically, without being aware of what I'm doing.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_11,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I find myself listening to someone with one ear, doing something else at the same time.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_12,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I drive places on 'automatic pilot' and then wonder why I went there.","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_13,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I find myself preoccupied with the future or the past.
","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_14,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I find myself doing things without paying attention.

","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
maas_15,survey_measures,mindful_attention_awareness_scale,radio,"Below is a collection of statements about your everyday experience. Using the 1-6 scale below, please indicate how frequently or infrequently you currently have each experience. Please answer according to what really reflects your experience rather than what you think your experience should be. Please treat each item separately from every other item.

I snack without being aware that I'm eating.

","1, Almost always | 2, Very frequently | 3, Somewhat frequently | 4, Somewhat infrequently | 5, Very infrequently | 6, Almost never",,,,,,,,,,,,,,
bis_instructions,survey_measures,Barrett_Impulsiveness_Scale,radio,People differ in the ways they act and think in different situations. This is a test to measure some of the ways in which you act and think. Read each statement and select the appropriate response. Do not spend too much time on any statement. Answer quickly and honestly.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,"<b>Barratt Impulsiveness Scale (BIS-11)</b>
<p>Asked during the fMRI session (outside of the scanner)</p>
<div class=""citation"">
  <span class=""author"">Barratt, E. S.</span>
  <span class=""year""> (1965).</span>
  <span class=""title""> Factor analysis of some psychometric measures of impulsiveness and anxiety.</span>
  <span class=""journal""> <em>Psychological Reports</em>,</span>
  <span class=""volume"">16,</span>
  <span class=""pages"">547-554.</span>
</div>"
bis_1,survey_measures,Barrett_Impulsiveness_Scale,radio,I plan tasks carefully.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,"<b>Barratt Impulsiveness Scale (BIS-11)</b>
<p>Asked during the fMRI session (outside of the scanner)</p>
<div class=""citation"">
  <span class=""author"">Barratt, E. S.</span>
  <span class=""year""> (1965).</span>
  <span class=""title""> Factor analysis of some psychometric measures of impulsiveness and anxiety.</span>
  <span class=""journal""> <em>Psychological Reports</em>,</span>
  <span class=""volume"">16,</span>
  <span class=""pages"">547-554.</span>
</div>"
bis_2,survey_measures,Barrett_Impulsiveness_Scale,radio,I do things without thinking.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,"<b>Barratt Impulsiveness Scale (BIS-11)</b>
<p>Asked during the fMRI session (outside of the scanner)</p>
<div class=""citation"">
  <span class=""author"">Barratt, E. S.</span>
  <span class=""year""> (1965).</span>
  <span class=""title""> Factor analysis of some psychometric measures of impulsiveness and anxiety.</span>
  <span class=""journal""> <em>Psychological Reports</em>,</span>
  <span class=""volume"">16,</span>
  <span class=""pages"">547-554.</span>
</div>"
bis_3,survey_measures,Barrett_Impulsiveness_Scale,radio,I make up my mind quickly.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_4,survey_measures,Barrett_Impulsiveness_Scale,radio,I am happy-go-lucky.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_5,survey_measures,Barrett_Impulsiveness_Scale,radio,"I don't ""pay attention"".","1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_6,survey_measures,Barrett_Impulsiveness_Scale,radio,"I have ""racing"" thoughts.","1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_7,survey_measures,Barrett_Impulsiveness_Scale,radio,I plan trips well ahead of time.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_8,survey_measures,Barrett_Impulsiveness_Scale,radio,I am self controlled.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_9,survey_measures,Barrett_Impulsiveness_Scale,radio,I concentrate easily.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_10,survey_measures,Barrett_Impulsiveness_Scale,radio,I save regularly.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_11,survey_measures,Barrett_Impulsiveness_Scale,radio,"I ""squirm"" at plays or lectures.","1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_12,survey_measures,Barrett_Impulsiveness_Scale,radio,I am a careful thinker.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_13,survey_measures,Barrett_Impulsiveness_Scale,radio,I plan for job security.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_14,survey_measures,Barrett_Impulsiveness_Scale,radio,I say things without thinking.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_15,survey_measures,Barrett_Impulsiveness_Scale,radio,I like to think about complex problems.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_16,survey_measures,Barrett_Impulsiveness_Scale,radio,I change jobs.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_17,survey_measures,Barrett_Impulsiveness_Scale,radio,"I act ""on impulse"".","1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_18,survey_measures,Barrett_Impulsiveness_Scale,radio,I get easily bored when solving thought problems.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_19,survey_measures,Barrett_Impulsiveness_Scale,radio,I act on the spur of the moment.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_20,survey_measures,Barrett_Impulsiveness_Scale,radio,I am a steady thinker.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_21,survey_measures,Barrett_Impulsiveness_Scale,radio,I change residences.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_22,survey_measures,Barrett_Impulsiveness_Scale,radio,I buy things on impulse.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_23,survey_measures,Barrett_Impulsiveness_Scale,radio,I can only think about one thing at a time.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_24,survey_measures,Barrett_Impulsiveness_Scale,radio,I change hobbies.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_25,survey_measures,Barrett_Impulsiveness_Scale,radio,I spend or charge more than I earn.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_26,survey_measures,Barrett_Impulsiveness_Scale,radio,I often have extraneous thoughts when thinking.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_27,survey_measures,Barrett_Impulsiveness_Scale,radio,I am more interested in the present than the future.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_28,survey_measures,Barrett_Impulsiveness_Scale,radio,I am restless at the theater or lectures.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_29,survey_measures,Barrett_Impulsiveness_Scale,radio,I like puzzles.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
bis_30,survey_measures,Barrett_Impulsiveness_Scale,radio,I am future oriented.,"1, Rarely/Never | 2, Occasionally | 3, Often | 4, Almost Always",,,,,,,,,,,,,,
receipt_text_date,receipts,,text,wwww,,,,,,,,,,,,," @DEFAULT=""What was the date and time of the purchase?""",,
receipt_dt_1,receipts,,text,Receipt 1: [receipt_text_date],,,,,,,,,,,,,,,
receipt1_dt,receipts,,text,tt,,,datetime_mdy,,,,,,,,,,,,
address_extra,address,,text,Please enter your address,,,,,,y,,y,,,,,,,
days (not a var),survey_measures,weekly_survey,,"Thinking back across the last 7 days, how often did you...",,,,,,,,,,,,,,,
days_01,survey_measures,weekly_survey,radio,resist the urge to smoke even though you felt a strong craving?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_02,survey_measures,weekly_survey,radio,"see smoking-related advertising in the media (for instance, online, in a magazine or on TV)?","0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_03,survey_measures,weekly_survey,radio,see smoking-related ads (like a poster or retail price) in a store that sells tobacco cigarettes?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_04,survey_measures,weekly_survey,radio,"buy cigarettes on impulse, when you were not originally planning to do so?","0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_05,survey_measures,weekly_survey,radio,smoke at least one cigarette while you were on your own?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_06,survey_measures,weekly_survey,radio,smoke at least one cigarette while you were with someone else who was smoking?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_07,survey_measures,weekly_survey,radio,smoke at least one cigarette while you were with someone else who was not smoking?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_social (not a var),survey_measures,weekly_survey,radio,"Thinking back across the last 7 days, how often did you...",,,,,,,,,,,,,,,
days_01,survey_measures,weekly_survey,radio,feel lonely?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_02,survey_measures,weekly_survey,radio,actively contribute to the happiness and well-being of others?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_03,survey_measures,weekly_survey,radio,have a supportive and rewarding social interaction?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_social_40,survey_measures,weekly_survey,radio,give help or emotional support to others?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
days_social_41,survey_measures,weekly_survey,radio,receive help or emotional support from others?,"0, Not at all | 1, Some days | 2, Most days | 3, Every day",,,,,,,,,,,,,,
week_01,survey_measures,weekly_survey,radio,Please indicate who you interacted with during the last 7 days.,"1, Only smokers | 2, Mostly smokers | 3, Half smokers, half nonsmokers | 4, Mostly nonsmokers | 5, Only nonsmokers | 6, Don't know",,,,,,,,,,,,,,
week_02,survey_measures,weekly_survey,radio,"Think about everything you’ve heard or seen about tobacco in the past 7 days. Was it mostly positive about tobacco, mostly negative, or a mix of positive and negative?","1, Mostly positive | 2, Positive and negative | 3, Mostly negative | 4, I didn't hear or see anything about tobacco in the last 7 days.",,,,,,,,,,,,,,
week_03,survey_measures,weekly_survey,radio,"In the last 7 days, how much did you crave cigarettes?","1, 0 |2, 10 | ",,,,,,,,,,,,,,
